Country Name,Socio-Eco,Continent
Andorra,H,Europe
Antigua & Barbuda,H,Namerica
Belgium,H,Europe
Bhutan,M,Asia
Botswana,M,Africa
Burkina Faso,L,Africa
Cameroon,L,Africa
Canada,H,Namerica
Chile,H,Samerica
China,M,Asia
Costa Rica,M,Samerica
Czech Republic,H,Europe
Dominican Republic,M,Namerica
Ecuador,M,Samerica
Estonia,H,Europe
Ethiopia,L,Africa
European Union,H,Europe
Finland,H,Europe
France,H,Europe
Gambia,L,Africa
India,L,Asia
Italy,H,Europe
Cote d'Ivoire,L,Africa
Japan,H,Asia
Jordan,M,Asia
Kazakhstan,M,Asia
Korea,H,Asia
Kyrgyzstan,L,Asia
Lebanon,M,Asia
Luxembourg,H,Europe
Mali,L,Africa
Mexico,M,Namerica
Morocco,L,Africa
Myanmar,L,Asia
Nepal,L,Asia
Niger,L,Africa
Norway,H,Europe
Panama,H,Namerica
Peru,M,Samerica
Philippines,L,Asia
Poland,H,Europe
Moldova,L,Europe
Saint Kitts and Nevis,H,Namerica
Slovakia,H,Europe
South Africa,M,Africa
Spain,H,Europe
Saint Vincent and the Grenadines,M,Namerica
Sudan,L,Africa
Sweden,H,Europe
Switzerland,H,Europe
Thailand,M,Asia
Togo,L,Africa
Tunisia,L,Africa
United Kingdom,H,Europe
Tanzania,L,Africa
Uruguay,H,Asia
Zambia,L,Africa
